_source_row,product_id,category,sub_category,base_price,launch_date,product_id_raw,category_raw,sub_category_raw,base_price_raw,launch_date_raw,category_unrecognized_flag,category_missing_flag,sub_category_unrecognized_flag,sub_category_missing_flag,base_price_invalid_format_flag,base_price_non_positive_flag,launch_date_status,launch_date_format,launch_date_ambiguous_flag
23,23,Women,Tops,209.79,2016-01-22,23,Women,Tops,209.79,2016-01-22,False,False,False,False,False,False,valid,YYYY-MM-DD,False
24,24,Accessories,Hats,120.48,2018-07-02,24,Accessories,Hats,120.48,02-07-2018,False,False,False,False,False,False,valid,DD-MM-YYYY,True
25,25,Shoes,Sneakers,194.64,2024-02-22,25,Shoes,Sneakers,194.64,2024-02-22,False,False,False,False,False,False,valid,YYYY-MM-DD,False
26,26,Shoes,Boots,196.17,2022-03-05,26,Shoes,Boots,196.17,2022-03-05,False,False,False,False,False,False,valid,YYYY-MM-DD,False
27,27,Kids,Outerwear,97.37,2023-06-02,27,Kids,Outerwear,97.37,02-06-2023,False,False,False,False,False,False,valid,DD-MM-YYYY,True
28,28,Accessories,Jewelry,137.53,2016-09-29,28,Accessories,Jewelry,137.53,29/09/2016,False,False,False,False,False,False,valid,DD-MM-YYYY,False
29,29,Kids,Tops,69.58,2019-02-22,29,Kids,Tops,69.58,2019-02-22,False,False,False,False,False,False,valid,YYYY-MM-DD,False
30,30,Kids,Outerwear,90.82,2020-10-24,30,Kids,Outerwear,90.82,2020-10-24,False,False,False,False,False,False,valid,YYYY-MM-DD,False
31,31,Kids,Shoes,44.29,2019-05-06,31,Kids,Shoes,44.29,2019-05-06,False,False,False,False,False,False,valid,YYYY-MM-DD,False
32,32,Men,Suits,168.47,2019-03-03,32,Men,Suits,168.47,2019/03/03,False,False,False,False,False,False,valid,YYYY-MM-DD,False
33,33,Women,Lingerie,214.3,2018-08-07,33,Women,Lingerie,214.3,2018/08/07,False,False,False,False,False,False,valid,YYYY-MM-DD,False
34,34,Kids,Tops,83.7,2015-07-08,34,Kids,Tops,83.7,2015-07-08,False,False,False,False,False,False,valid,YYYY-MM-DD,False
35,35,Accessories,Jewelry,174.5,2023-07-29,35,Accessories,Jewelry,174.5,2023-07-29,False,False,False,False,False,False,valid,YYYY-MM-DD,False
36,36,Women,Lingerie,140.34,2024-05-01,36,Women,Lingerie,140.34,01/05/2024,False,False,False,False,False,False,valid,DD-MM-YYYY,True
37,37,Accessories,Belts,126.52,2015-10-23,37,Accessories,Belts,126.52,2015-10-23,False,False,False,False,False,False,valid,YYYY-MM-DD,False
38,38,Accessories,Hats,118.93,2019-02-19,38,Accessories,Hats,118.93,2019-02-19,False,False,False,False,False,False,valid,YYYY-MM-DD,False
39,39,Men,Activewear,155.99,2020-03-06,39,Men,Activewear,155.99,2020/03/06,False,False,False,False,False,False,valid,YYYY-MM-DD,False
40,40,Shoes,Heels,213.71,2022-11-03,40,Shoes,Heels,213.71,03-11-2022,False,False,False,False,False,False,valid,DD-MM-YYYY,True
41,41,Women,Tops,184.82,2024-11-13,41,Women,Tops,184.82,2024-11-13,False,False,False,False,False,False,valid,YYYY-MM-DD,False
42,42,Shoes,Loafers,266.64,2019-03-01,42,Shoes,Loafers,266.64,2019-03-01,False,False,False,False,False,False,valid,YYYY-MM-DD,False
43,43,Shoes,Loafers,295.78,2022-06-28,43,Shoes,Loafers,295.78,2022-06-28,False,False,False,False,False,False,valid,YYYY-MM-DD,False
44,44,Men,Outerwear,159.91,2024-05-17,44,Men,Outerwear,159.91,2024-05-17,False,False,False,False,False,False,valid,YYYY-MM-DD,False
45,45,Women,Activewear,216.69,2023-04-22,45,Women,Activewear,216.69,22/04/2023,False,False,False,False,False,False,valid,DD-MM-YYYY,False
46,46,Accessories,Belts,98.95,2017-11-27,46,Accessories,Belts,98.95,2017/11/27,False,False,False,False,False,False,valid,YYYY-MM-DD,False
47,47,Kids,Sleepwear,107.23,2023-03-06,47,Kids,Sleepwear,107.23,2023-03-06,False,False,False,False,False,False,valid,YYYY-MM-DD,False
48,48,Accessories,Hats,97.14,2019-02-14,48,Accessories,Hats,97.14,2019-02-14,False,False,False,False,False,False,valid,YYYY-MM-DD,False
49,49,Shoes,Heels,279.99,2015-03-06,49,Shoes,Heels,279.99,2015-03-06,False,False,False,False,False,False,valid,YYYY-MM-DD,False
50,50,Shoes,Sneakers,341.59,2022-08-04,50,Shoes,Sneakers,341.59,2022-08-04,False,False,False,False,False,False,valid,YYYY-MM-DD,False
51,51,Shoes,Sandals,213.29,2023-05-10,51,Shoes,Sandals,213.29,10-05-2023,False,False,False,False,False,False,valid,DD-MM-YYYY,True
52,52,Women,Tops,81.34,2018-06-09,52,Women,Tops,81.34,2018-06-09,False,False,False,False,False,False,valid,YYYY-MM-DD,False
53,53,Men,Jeans,138.08,2019-07-06,53,Men,Jeans,138.08,2019/07/06,False,False,False,False,False,False,valid,YYYY-MM-DD,False
54,54,Kids,Tops,117.72,2018-08-23,54,Kids,Tops,117.72,2018-08-23,False,False,False,False,False,False,valid,YYYY-MM-DD,False
55,55,Kids,Shoes,102.44,,55,Kids,Shoes,102.44,,False,False,False,False,False,False,missing,missing,False
56,56,Women,Dresses,191.2,2024-12-13,56,Women,Dresses,191.2,2024-12-13,False,False,False,False,False,False,valid,YYYY-MM-DD,False
57,57,Kids,Sleepwear,112.7,2015-03-24,57,Kids,Sleepwear,112.7,2015-03-24,False,False,False,False,False,False,valid,YYYY-MM-DD,False
58,58,Women,Lingerie,201.8,2020-07-22,58,Women,Lingerie,201.8,2020-07-22,False,False,False,False,False,False,valid,YYYY-MM-DD,False
59,59,Shoes,Sneakers,286.97,2015-02-24,59,Shoes,Sneakers,286.97,2015.02.24,False,False,False,False,False,False,valid,YYYY-MM-DD,False
60,60,Shoes,Heels,270.57,2021-11-23,60,Shoes,Heels,270.57,2021-11-23,False,False,False,False,False,False,valid,YYYY-MM-DD,False
61,61,Accessories,Hats,165.65,2024-01-04,61,Accessories,Hats,165.65,2024-01-04,False,False,False,False,False,False,valid,YYYY-MM-DD,False
62,62,Shoes,Boots,239.73,2021-06-08,62,Shoes,Boots,239.73,2021-06-08,False,False,False,False,False,False,valid,YYYY-MM-DD,False
63,63,Men,Suits,196.21,2021-01-23,63,Men,Suits,196.21,2021.01.23,False,False,False,False,False,False,valid,YYYY-MM-DD,False
64,64,Accessories,Hats,110.79,2023-04-13,64,Accessories,Hats,110.79,13-04-2023,False,False,False,False,False,False,valid,DD-MM-YYYY,False
65,65,Kids,Outerwear,76.47,2024-09-28,65,Kids,Outerwear,76.47,2024-09-28,False,False,False,False,False,False,valid,YYYY-MM-DD,False
66,66,Men,Outerwear,228.27,2023-08-15,66,Men,Outerwear,228.27,2023-08-15,False,False,False,False,False,False,valid,YYYY-MM-DD,False
67,67,Accessories,Jewelry,126.49,2017-04-25,67,Accessories,Jewelry,126.49,2017/04/25,False,False,False,False,False,False,valid,YYYY-MM-DD,False
68,68,Men,Activewear,192.2,2020-08-19,68,Men,Activewear,192.2,2020-08-19,False,False,False,False,False,False,valid,YYYY-MM-DD,False
69,69,Women,Jeans,185.57,2023-03-11,69,Women,Jeans,185.57,2023-03-11,False,False,False,False,False,False,valid,YYYY-MM-DD,False
70,70,Kids,Shoes,76.8,2017-12-12,70,Kids,Shoes,76.8,2017/12/12,False,False,False,False,False,False,valid,YYYY-MM-DD,False
71,71,Shoes,Loafers,220.6,2021-10-02,71,Shoes,Loafers,220.6,2021/10/02,False,False,False,False,False,False,valid,YYYY-MM-DD,False
72,72,Women,Lingerie,244.62,2015-03-25,72,Women,Lingerie,244.62,2015/03/25,False,False,False,False,False,False,valid,YYYY-MM-DD,False
73,73,Kids,Sleepwear,102.49,2023-10-10,73,Kids,Sleepwear,102.49,2023/10/10,False,False,False,False,False,False,valid,YYYY-MM-DD,False
74,74,Women,Jeans,102.98,2021-02-22,74,Women,Jeans,102.98,2021-02-22,False,False,False,False,False,False,valid,YYYY-MM-DD,False
75,75,Shoes,Sandals,208.16,2022-06-07,75,Shoes,Sandals,208.16,07-06-2022,False,False,False,False,False,False,valid,DD-MM-YYYY,True
76,76,Kids,Bottoms,130.1,2023-04-04,76,Kids,Bottoms,130.1,2023/04/04,False,False,False,False,False,False,valid,YYYY-MM-DD,False
77,77,Men,Jeans,151.45,2017-03-10,77,Men,Jeans,151.45,10-03-2017,False,False,False,False,False,False,valid,DD-MM-YYYY,True
78,78,Men,Outerwear,87.98,2019-07-04,78,Men,Outerwear,87.98,2019/07/04,False,False,False,False,False,False,valid,YYYY-MM-DD,False
79,79,Kids,Shoes,132.59,2023-08-03,79,Kids,Shoes,132.59,2023-08-03,False,False,False,False,False,False,valid,YYYY-MM-DD,False
80,80,Shoes,Heels,257.53,2016-08-24,80,Shoes,Heels,257.53,2016-08-24,False,False,False,False,False,False,valid,YYYY-MM-DD,False
81,81,Accessories,Belts,117.9,2023-03-24,81,Accessories,Belts,117.9,2023-03-24,False,False,False,False,False,False,valid,YYYY-MM-DD,False
82,82,Kids,Outerwear,81.64,2017-11-18,82,Kids,Outerwear,81.64,2017-11-18,False,False,False,False,False,False,valid,YYYY-MM-DD,False
83,83,Women,Tops,228.71,2020-10-03,83,Women,Tops,228.71,2020-10-03,False,False,False,False,False,False,valid,YYYY-MM-DD,False
84,84,Accessories,Scarves,103.74,2020-02-06,84,Accessories,Scarves,103.74,2020/02/06,False,False,False,False,False,False,valid,YYYY-MM-DD,False
85,85,Shoes,Boots,283.15,2021-11-12,85,Shoes,Boots,283.15,12-11-2021,False,False,False,False,False,False,valid,DD-MM-YYYY,True
86,86,Shoes,Heels,249.82,2023-05-15,86,Shoes,Heels,249.82,2023/05/15,False,False,False,False,False,False,valid,YYYY-MM-DD,False
87,87,Women,Jeans,191.01,,87,Women,Jeans,191.01,,False,False,False,False,False,False,missing,missing,False
88,88,Men,Jeans,165.82,2016-09-19,88,Men,Jeans,165.82,2016-09-19,False,False,False,False,False,False,valid,YYYY-MM-DD,False
89,89,Shoes,Loafers,210.38,2019-03-25,89,Shoes,Loafers,210.38,25-03-2019,False,False,False,False,False,False,valid,DD-MM-YYYY,False
90,90,Accessories,Belts,151.37,2021-02-14,90,Accessories,Belts,151.37,14-02-2021,False,False,False,False,False,False,valid,DD-MM-YYYY,False
91,91,Kids,Tops,70.53,,91,Kids,Tops,70.53,,False,False,False,False,False,False,missing,missing,False
92,92,Accessories,Belts,71.34,2022-07-15,92,Accessories,Belts,71.34,2022-07-15,False,False,False,False,False,False,valid,YYYY-MM-DD,False
93,93,Accessories,Hats,138.43,2018-05-26,93,Accessories,Hats,138.43,2018-05-26,False,False,False,False,False,False,valid,YYYY-MM-DD,False
94,94,Men,Shirts,185.25,2024-05-12,94,Men,Shirts,185.25,2024-05-12,False,False,False,False,False,False,valid,YYYY-MM-DD,False
95,95,Accessories,Belts,134.41,2015-10-31,95,Accessories,Belts,134.41,31-10-2015,False,False,False,False,False,False,valid,DD-MM-YYYY,False
96,96,Men,Shirts,176.31,2016-03-02,96,Men,Shirts,176.31,2016-03-02,False,False,False,False,False,False,valid,YYYY-MM-DD,False
97,97,Men,Activewear,147.18,2015-04-01,97,Men,Activewear,147.18,2015-04-01,False,False,False,False,False,False,valid,YYYY-MM-DD,False
98,98,Shoes,Sandals,263.31,2024-04-07,98,Shoes,Sandals,263.31,2024-04-07,False,False,False,False,False,False,valid,YYYY-MM-DD,False
99,99,Shoes,Loafers,217.49,2016-10-19,99,Shoes,Loafers,217.49,2016-10-19,False,False,False,False,False,False,valid,YYYY-MM-DD,False
100,100,Women,Jeans,158.08,2021-01-06,100,Women,Jeans,158.08,2021/01/06,False,False,False,False,False,False,valid,YYYY-MM-DD,False
101,101,Accessories,Jewelry,110.64,2023-02-17,101,Accessories,Jewelry,110.64,2023-02-17,False,False,False,False,False,False,valid,YYYY-MM-DD,False
102,102,Women,Tops,270.93,2022-09-01,102,Women,Tops,270.93,2022/09/01,False,False,False,False,False,False,valid,YYYY-MM-DD,False
103,103,Accessories,Scarves,67.95,2024-06-28,103,Accessories,Scarves,67.95,2024-06-28,False,False,False,False,False,False,valid,YYYY-MM-DD,False
104,104,Women,Outerwear,202.49,2015-07-16,104,Women,Outerwear,202.49,2015-07-16,False,False,False,False,False,False,valid,YYYY-MM-DD,False
105,105,Shoes,Sandals,127.65,2019-01-27,105,Shoes,Sandals,127.65,2019-01-27,False,False,False,False,False,False,valid,YYYY-MM-DD,False
106,106,Shoes,Sandals,214.05,,106,Shoes,Sandals,214.05,2020-01,False,False,False,False,False,False,partial_month,YYYY-MM,False
107,107,Shoes,Heels,196.15,2021-12-18,107,Shoes,Heels,196.15,2021-12-18,False,False,False,False,False,False,valid,YYYY-MM-DD,False
108,108,Shoes,Boots,105.32,2021-03-24,108,Shoes,Boots,105.32,2021-03-24,False,False,False,False,False,False,valid,YYYY-MM-DD,False
109,109,Kids,Outerwear,98.75,,109,Kids,Outerwear,98.75,,False,False,False,False,False,False,missing,missing,False
110,110,Shoes,Loafers,199.1,2018-01-25,110,Shoes,Loafers,199.1,2018-01-25,False,False,False,False,False,False,valid,YYYY-MM-DD,False
111,111,Men,T-Shirts,76.03,2016-01-24,111,Men,T-Shirts,76.03,2016-01-24,False,False,False,False,False,False,valid,YYYY-MM-DD,False
112,112,Shoes,Loafers,266.18,2019-04-26,112,Shoes,Loafers,266.18,2019-04-26,False,False,False,False,False,False,valid,YYYY-MM-DD,False
113,113,Kids,Tops,122.29,2017-08-06,113,Kids,Tops,122.29,2017/08/06,False,False,False,False,False,False,valid,YYYY-MM-DD,False
114,114,Kids,Outerwear,123.53,2020-07-17,114,Kids,Outerwear,123.53,2020-07-17,False,False,False,False,False,False,valid,YYYY-MM-DD,False
115,115,Kids,Tops,98.08,2022-12-21,115,Kids,Tops,98.08,2022-12-21,False,False,False,False,False,False,valid,YYYY-MM-DD,False
116,116,Kids,Sleepwear,91.04,2020-07-11,116,Kids,Sleepwear,91.04,11-07-2020,False,False,False,False,False,False,valid,DD-MM-YYYY,True
117,117,Women,Lingerie,239.77,2020-10-30,117,Women,Lingerie,239.77,2020-10-30,False,False,False,False,False,False,valid,YYYY-MM-DD,False
118,118,Women,Dresses,255.71,2015-06-02,118,Women,Dresses,255.71,2015-06-02,False,False,False,False,False,False,valid,YYYY-MM-DD,False
119,119,Men,Activewear,205.34,2021-06-12,119,Men,Activewear,205.34,2021-06-12,False,False,False,False,False,False,valid,YYYY-MM-DD,False
120,120,Women,Lingerie,137.63,2019-05-25,120,Women,Lingerie,137.63,2019-05-25,False,False,False,False,False,False,valid,YYYY-MM-DD,False
121,121,Kids,Shoes,94.53,2016-03-27,121,Kids,Shoes,94.53,2016-03-27,False,False,False,False,False,False,valid,YYYY-MM-DD,False
122,122,Shoes,Boots,244.17,2017-02-20,122,Shoes,Boots,244.17,2017-02-20,False,False,False,False,False,False,valid,YYYY-MM-DD,False
123,123,Shoes,Sneakers,120.47,2022-10-23,123,Shoes,Sneakers,120.47,2022-10-23,False,False,False,False,False,False,valid,YYYY-MM-DD,False
124,124,Kids,Shoes,100.56,2024-03-02,124,Kids,Shoes,100.56,2024-03-02,False,False,False,False,False,False,valid,YYYY-MM-DD,False
125,125,Accessories,Jewelry,188.19,2020-01-29,125,Accessories,Jewelry,188.19,2020.01.29,False,False,False,False,False,False,valid,YYYY-MM-DD,False
126,126,Kids,Outerwear,104.4,2024-10-07,126,Kids,Outerwear,104.4,2024/10/07,False,False,False,False,False,False,valid,YYYY-MM-DD,False
127,127,Women,Lingerie,246.3,2016-10-19,127,Women,Lingerie,246.3,2016-10-19,False,False,False,False,False,False,valid,YYYY-MM-DD,False
128,128,Shoes,Sneakers,230.06,2017-12-30,128,Shoes,Sneakers,230.06,30-12-2017,False,False,False,False,False,False,valid,DD-MM-YYYY,False
129,129,Kids,Sleepwear,88.35,2024-04-20,129,Kids,Sleepwear,88.35,2024-04-20,False,False,False,False,False,False,valid,YYYY-MM-DD,False
130,130,Shoes,Sneakers,240.97,2016-10-01,130,Shoes,Sneakers,240.97,2016/10/01,False,False,False,False,False,False,valid,YYYY-MM-DD,False
131,131,Kids,Shoes,71.64,2021-08-05,131,Kids,Shoes,71.64,2021/08/05,False,False,False,False,False,False,valid,YYYY-MM-DD,False
132,132,Kids,Sleepwear,68.32,2017-03-12,132,Kids,Sleepwear,68.32,2017/03/12,False,False,False,False,False,False,valid,YYYY-MM-DD,False
133,133,Women,Lingerie,236.98,2018-04-24,133,Women,Lingerie,236.98,2018.04.24,False,False,False,False,False,False,valid,YYYY-MM-DD,False
134,134,Kids,Outerwear,120.88,2019-10-12,134,Kids,Outerwear,120.88,2019/10/12,False,False,False,False,False,False,valid,YYYY-MM-DD,False
135,135,Shoes,Sneakers,165.49,2018-08-08,135,Shoes,Sneakers,165.49,2018-08-08,False,False,False,False,False,False,valid,YYYY-MM-DD,False
136,136,Men,Shirts,198.72,2023-09-30,136,Men,Shirts,198.72,2023-09-30,False,False,False,False,False,False,valid,YYYY-MM-DD,False
137,137,Shoes,Boots,215.22,,137,Shoes,Boots,215.22,,False,False,False,False,False,False,missing,missing,False
138,138,Women,Activewear,195.29,2020-01-01,138,Women,Activewear,195.29,01-01-2020,False,False,False,False,False,False,valid,DD-MM-YYYY,True
139,139,Men,Shirts,178.41,2020-04-02,139,Men,Shirts,178.41,2020-04-02,False,False,False,False,False,False,valid,YYYY-MM-DD,False
140,140,Kids,Shoes,112.37,2015-07-22,140,Kids,Shoes,112.37,2015-07-22,False,False,False,False,False,False,valid,YYYY-MM-DD,False
141,141,Accessories,Belts,122.48,,141,Accessories,Belts,122.48,2017-05,False,False,False,False,False,False,partial_month,YYYY-MM,False
142,142,Men,Outerwear,216.41,2015-05-26,142,Men,Outerwear,216.41,2015-05-26,False,False,False,False,False,False,valid,YYYY-MM-DD,False
143,143,Men,Jeans,172.38,2023-07-27,143,Men,Jeans,172.38,2023-07-27,False,False,False,False,False,False,valid,YYYY-MM-DD,False
144,144,Kids,Outerwear,104.04,2017-04-10,144,Kids,Outerwear,104.04,2017-04-10,False,False,False,False,False,False,valid,YYYY-MM-DD,False
145,145,Accessories,Hats,95.0,2018-05-29,145,Accessories,Hats,95.0,2018-05-29,False,False,False,False,False,False,valid,YYYY-MM-DD,False
146,146,Accessories,Bags,184.76,2023-06-06,146,Accessories,Bags,184.76,2023/06/06,False,False,False,False,False,False,valid,YYYY-MM-DD,False
147,147,Women,Outerwear,201.14,2022-02-18,147,Women,Outerwear,201.14,18-02-2022,False,False,False,False,False,False,valid,DD-MM-YYYY,False
148,148,Men,Suits,188.52,2021-03-20,148,Men,Suits,188.52,2021-03-20,False,False,False,False,False,False,valid,YYYY-MM-DD,False
149,149,Accessories,Jewelry,71.75,,149,Accessories,Jewelry,71.75,,False,False,False,False,False,False,missing,missing,False
150,150,Women,Tops,142.98,2020-08-18,150,Women,Tops,142.98,2020-08-18,False,False,False,False,False,False,valid,YYYY-MM-DD,False
151,151,Accessories,Jewelry,157.14,2020-08-10,151,Accessories,Jewelry,157.14,2020-08-10,False,False,False,False,False,False,valid,YYYY-MM-DD,False
152,152,Men,T-Shirts,171.48,2018-03-11,152,Men,T-Shirts,171.48,2018-03-11,False,False,False,False,False,False,valid,YYYY-MM-DD,False
153,153,Accessories,Jewelry,62.59,2022-06-14,153,Accessories,Jewelry,62.59,14-06-2022,False,False,False,False,False,False,valid,DD-MM-YYYY,False
154,154,Men,Outerwear,201.53,2024-04-18,154,Men,Outerwear,201.53,2024-04-18,False,False,False,False,False,False,valid,YYYY-MM-DD,False
155,155,Kids,Shoes,77.76,2017-08-04,155,Kids,Shoes,77.76,2017-08-04,False,False,False,False,False,False,valid,YYYY-MM-DD,False
156,156,Shoes,Heels,297.62,,156,Shoes,Heels,297.62,,False,False,False,False,False,False,missing,missing,False
157,157,Women,Dresses,176.05,2018-03-23,157,Women,Dresses,176.05,2018-03-23,False,False,False,False,False,False,valid,YYYY-MM-DD,False
158,158,Kids,Bottoms,94.61,2023-05-09,158,Kids,Bottoms,94.61,2023/05/09,False,False,False,False,False,False,valid,YYYY-MM-DD,False
159,159,Kids,Sleepwear,116.53,2015-10-12,159,Kids,Sleepwear,116.53,2015-10-12,False,False,False,False,False,False,valid,YYYY-MM-DD,False
160,160,Shoes,Sneakers,170.64,2023-12-17,160,Shoes,Sneakers,170.64,2023/12/17,False,False,False,False,False,False,valid,YYYY-MM-DD,False
161,161,Accessories,Hats,90.21,2022-10-02,161,Accessories,Hats,90.21,02-10-2022,False,False,False,False,False,False,valid,DD-MM-YYYY,True
162,162,Shoes,Sandals,209.19,2019-11-01,162,Shoes,Sandals,209.19,01-11-2019,False,False,False,False,False,False,valid,DD-MM-YYYY,True
163,163,Kids,Tops,108.61,2020-11-01,163,Kids,Tops,108.61,2020-11-01,False,False,False,False,False,False,valid,YYYY-MM-DD,False
164,164,Kids,Outerwear,60.06,2023-12-11,164,Kids,Outerwear,60.06,11-12-2023,False,False,False,False,False,False,valid,DD-MM-YYYY,True
165,165,Kids,Bottoms,52.47,2022-09-13,165,Kids,Bottoms,52.47,2022-09-13,False,False,False,False,False,False,valid,YYYY-MM-DD,False
166,166,Accessories,Hats,144.71,2017-10-08,166,Accessories,Hats,144.71,2017-10-08,False,False,False,False,False,False,valid,YYYY-MM-DD,False
167,167,Men,Jeans,135.88,2015-07-04,167,Men,Jeans,135.88,2015/07/04,False,False,False,False,False,False,valid,YYYY-MM-DD,False
168,168,Women,Lingerie,162.35,2021-08-02,168,Women,Lingerie,162.35,2021-08-02,False,False,False,False,False,False,valid,YYYY-MM-DD,False
169,169,Men,Shirts,85.73,,169,Men,Shirts,85.73,,False,False,False,False,False,False,missing,missing,False
170,170,Women,Lingerie,149.45,2015-11-18,170,Women,Lingerie,149.45,2015-11-18,False,False,False,False,False,False,valid,YYYY-MM-DD,False
171,171,Women,Activewear,179.66,2024-10-28,171,Women,Activewear,179.66,28/10/2024,False,False,False,False,False,False,valid,DD-MM-YYYY,False
172,172,Women,Lingerie,221.87,2019-09-28,172,Women,Lingerie,221.87,2019-09-28,False,False,False,False,False,False,valid,YYYY-MM-DD,False
173,173,Shoes,Loafers,177.58,2021-07-05,173,Shoes,Loafers,177.58,2021-07-05,False,False,False,False,False,False,valid,YYYY-MM-DD,False
174,174,Shoes,Sneakers,311.16,2017-03-04,174,Shoes,Sneakers,311.16,2017.03.04,False,False,False,False,False,False,valid,YYYY-MM-DD,False
175,175,Shoes,Loafers,182.35,2016-01-07,175,Shoes,Loafers,182.35,2016-01-07,False,False,False,False,False,False,valid,YYYY-MM-DD,False
176,176,Kids,Outerwear,74.63,2015-08-18,176,Kids,Outerwear,74.63,18-08-2015,False,False,False,False,False,False,valid,DD-MM-YYYY,False
177,177,Shoes,Loafers,304.55,2018-07-18,177,Shoes,Loafers,304.55,18-07-2018,False,False,False,False,False,False,valid,DD-MM-YYYY,False
178,178,Women,Lingerie,189.52,2015-01-14,178,Women,Lingerie,189.52,2015/01/14,False,False,False,False,False,False,valid,YYYY-MM-DD,False
179,179,Accessories,Hats,103.44,2019-03-15,179,Accessories,Hats,103.44,2019-03-15,False,False,False,False,False,False,valid,YYYY-MM-DD,False
180,180,Kids,Bottoms,86.51,2018-04-01,180,Kids,Bottoms,86.51,01-04-2018,False,False,False,False,False,False,valid,DD-MM-YYYY,True
181,181,Accessories,Bags,160.59,2020-04-08,181,Accessories,Bags,160.59,2020-04-08,False,False,False,False,False,False,valid,YYYY-MM-DD,False
182,182,Women,Dresses,245.98,2020-11-23,182,Women,Dresses,245.98,2020-11-23,False,False,False,False,False,False,valid,YYYY-MM-DD,False
183,183,Kids,Bottoms,71.62,2018-01-31,183,Kids,Bottoms,71.62,2018-01-31,False,False,False,False,False,False,valid,YYYY-MM-DD,False
184,184,Shoes,Loafers,217.67,2019-07-21,184,Shoes,Loafers,217.67,21-07-2019,False,False,False,False,False,False,valid,DD-MM-YYYY,False
185,185,Kids,Outerwear,92.03,2015-10-13,185,Kids,Outerwear,92.03,2015-10-13,False,False,False,False,False,False,valid,YYYY-MM-DD,False
186,186,Kids,Outerwear,67.81,2018-01-07,186,Kids,Outerwear,67.81,07-01-2018,False,False,False,False,False,False,valid,DD-MM-YYYY,True
