_source_row,product_id,warehouse_country,stock_quantity,last_stock_update,product_id_raw,warehouse_country_raw,stock_quantity_raw,last_stock_update_raw,warehouse_country_unrecognized_flag,warehouse_country_missing_flag,stock_invalid_format_flag,stock_fractional_flag,stock_zero_flag,stock_negative_flag,last_stock_update_status,last_stock_update_format,last_stock_update_ambiguous_flag,days_since_stock_update,stock_update_after_reference_flag,stale_stock_update_review_flag,missing_product_reference_flag,stock_review_flag
12,9,Poland,156,2023-09-07,9,Polska,156,2023.09.07,False,False,False,False,False,False,valid,YYYY-MM-DD,False,481.0,False,True,False,True
13,10,Poland,145,2023-07-17,10,pl,145,2023-07-17,False,False,False,False,False,False,valid,YYYY-MM-DD,False,533.0,False,True,False,True
14,11,Germany,299,2024-08-09,11,germany,299,2024-08-09,False,False,False,False,False,False,valid,YYYY-MM-DD,False,144.0,False,True,False,True
15,11,Czech Republic,0,2024-02-17,11,Czech Republic,0,2024/02/17,False,False,False,False,True,False,valid,YYYY-MM-DD,False,318.0,False,True,False,True
16,12,Germany,136,2024-06-07,12,Germany,136,2024-06-07,False,False,False,False,False,False,valid,YYYY-MM-DD,False,207.0,False,True,False,True
17,13,Czech Republic,59,2024-01-19,13,Czechia,59,2024-01-19,False,False,False,False,False,False,valid,YYYY-MM-DD,False,347.0,False,True,False,True
18,14,Germany,441,2024-03-10,14,DE,441,2024-03-10,False,False,False,False,False,False,valid,YYYY-MM-DD,False,296.0,False,True,False,True
19,15,Germany,0,2024-11-27,15,Deutschland,0,2024/11/27,False,False,False,False,True,False,valid,YYYY-MM-DD,False,34.0,False,False,False,True
20,16,Czech Republic,183,2023-05-28,16,czechia,183,2023/05/28,False,False,False,False,False,False,valid,YYYY-MM-DD,False,583.0,False,True,False,True
21,17,Germany,138,2024-11-23,17,Deutschland,138,2024/11/23,False,False,False,False,False,False,valid,YYYY-MM-DD,False,38.0,False,False,False,True
22,18,Germany,308,2023-07-09,18,GER,308,2023-07-09,False,False,False,False,False,False,valid,YYYY-MM-DD,False,541.0,False,True,False,True
23,19,Poland,164,2024-06-13,19,POL,164,2024-06-13,False,False,False,False,False,False,valid,YYYY-MM-DD,False,201.0,False,True,False,True
24,20,Czech Republic,22,2023-07-12,20,CZ,22,12/07/2023,False,False,False,False,False,False,valid,DD-MM-YYYY,True,538.0,False,True,False,True
25,20,Germany,197,2024-06-24,20,Germany,197,2024/06/24,False,False,False,False,False,False,valid,YYYY-MM-DD,False,190.0,False,True,False,True
26,21,Poland,146,2024-03-05,21,Polska,146,2024-03-05,False,False,False,False,False,False,valid,YYYY-MM-DD,False,301.0,False,True,False,True
27,22,Czech Republic,325,2024-05-25,22,czechia,325,25-05-2024,False,False,False,False,False,False,valid,DD-MM-YYYY,False,220.0,False,True,False,True
28,23,Czech Republic,102,2024-08-13,23,Czech,102,2024-08-13,False,False,False,False,False,False,valid,YYYY-MM-DD,False,140.0,False,True,False,True
29,24,Czech Republic,160,2024-09-17,24,Czechia,160,2024-09-17,False,False,False,False,False,False,valid,YYYY-MM-DD,False,105.0,False,True,False,True
30,24,Poland,217,2024-01-23,24,POL,217,2024-01-23,False,False,False,False,False,False,valid,YYYY-MM-DD,False,343.0,False,True,False,True
31,25,Czech Republic,105,2024-10-16,25,CZ,105,2024.10.16,False,False,False,False,False,False,valid,YYYY-MM-DD,False,76.0,False,False,False,True
32,26,Czech Republic,193,2024-09-25,26,Czech,193,2024/09/25,False,False,False,False,False,False,valid,YYYY-MM-DD,False,97.0,False,True,False,True
33,26,Poland,309,2023-06-17,26,poland,309,2023-06-17,False,False,False,False,False,False,valid,YYYY-MM-DD,False,563.0,False,True,False,True
34,27,Czech Republic,204,2023-12-03,27,czechia,204,2023-12-03,False,False,False,False,False,False,valid,YYYY-MM-DD,False,394.0,False,True,False,True
35,28,Czech Republic,290,2023-06-03,28,Czech,290,2023-06-03,False,False,False,False,False,False,valid,YYYY-MM-DD,False,577.0,False,True,False,True
36,28,Poland,14,2023-11-17,28,pl,14,2023-11-17,False,False,False,False,False,False,valid,YYYY-MM-DD,False,410.0,False,True,False,True
37,29,Czech Republic,282,2023-11-11,29,Czechia,282,2023-11-11,False,False,False,False,False,False,valid,YYYY-MM-DD,False,416.0,False,True,False,True
38,30,Poland,97,2024-05-09,30,PL,97,2024-05-09,False,False,False,False,False,False,valid,YYYY-MM-DD,False,236.0,False,True,False,True
39,30,Germany,254,2024-02-23,30,GER,254,2024/02/23,False,False,False,False,False,False,valid,YYYY-MM-DD,False,312.0,False,True,False,True
40,31,Poland,90,2024-02-04,31,Polska,90,2024-02-04,False,False,False,False,False,False,valid,YYYY-MM-DD,False,331.0,False,True,False,True
41,31,Germany,263,2024-11-01,31,Germany,263,2024-11-01,False,False,False,False,False,False,valid,YYYY-MM-DD,False,60.0,False,False,False,True
42,32,Germany,180,2023-08-29,32,Deutschland,180,29-08-2023,False,False,False,False,False,False,valid,DD-MM-YYYY,False,490.0,False,True,False,True
43,32,Poland,268,2024-04-04,32,Polska,268,2024-04-04,False,False,False,False,False,False,valid,YYYY-MM-DD,False,271.0,False,True,False,True
44,33,Czech Republic,0,2023-12-14,33,czechia,0,2023/12/14,False,False,False,False,True,False,valid,YYYY-MM-DD,False,383.0,False,True,False,True
45,34,Czech Republic,139,2023-05-18,34,Czech Republic,139,2023-05-18,False,False,False,False,False,False,valid,YYYY-MM-DD,False,593.0,False,True,False,True
46,34,Germany,111,2024-05-01,34,DE,111,2024-05-01,False,False,False,False,False,False,valid,YYYY-MM-DD,False,244.0,False,True,False,True
47,35,Poland,71,2024-05-26,35,POL,71,2024-05-26,False,False,False,False,False,False,valid,YYYY-MM-DD,False,219.0,False,True,False,True
48,36,Czech Republic,44,2024-08-20,36,Czech,44,2024-08-20,False,False,False,False,False,False,valid,YYYY-MM-DD,False,133.0,False,True,False,True
49,36,Poland,84,2024-08-26,36,poland,84,2024-08-26,False,False,False,False,False,False,valid,YYYY-MM-DD,False,127.0,False,True,False,True
50,37,Germany,188,2024-04-20,37,Germany,188,2024/04/20,False,False,False,False,False,False,valid,YYYY-MM-DD,False,255.0,False,True,False,True
51,38,Czech Republic,392,2023-10-10,38,czechia,392,2023-10-10,False,False,False,False,False,False,valid,YYYY-MM-DD,False,448.0,False,True,False,True
52,38,Germany,211,2024-08-18,38,Germany,211,2024-08-18,False,False,False,False,False,False,valid,YYYY-MM-DD,False,135.0,False,True,False,True
53,39,Poland,104,2024-08-17,39,Poland,104,2024-08-17,False,False,False,False,False,False,valid,YYYY-MM-DD,False,136.0,False,True,False,True
54,40,Czech Republic,209,2024-08-02,40,Czech,209,2024-08-02,False,False,False,False,False,False,valid,YYYY-MM-DD,False,151.0,False,True,False,True
55,41,Poland,244,2024-09-23,41,Poland,244,2024-09-23,False,False,False,False,False,False,valid,YYYY-MM-DD,False,99.0,False,True,False,True
56,41,Germany,252,2024-10-16,41,DE,252,2024-10-16,False,False,False,False,False,False,valid,YYYY-MM-DD,False,76.0,False,False,False,True
57,42,Germany,287,2024-06-20,42,GER,287,20/06/2024,False,False,False,False,False,False,valid,DD-MM-YYYY,False,194.0,False,True,False,True
58,43,Poland,125,2024-04-30,43,poland,125,2024-04-30,False,False,False,False,False,False,valid,YYYY-MM-DD,False,245.0,False,True,False,True
59,44,Germany,173,2024-01-17,44,Deutschland,173,2024-01-17,False,False,False,False,False,False,valid,YYYY-MM-DD,False,349.0,False,True,False,True
60,45,Poland,182,2024-05-17,45,pl,182,2024-05-17,False,False,False,False,False,False,valid,YYYY-MM-DD,False,228.0,False,True,False,True
61,46,Poland,365,2024-08-25,46,Poland,365,2024-08-25,False,False,False,False,False,False,valid,YYYY-MM-DD,False,128.0,False,True,False,True
62,46,Czech Republic,241,2024-02-16,46,Czech,241,2024-02-16,False,False,False,False,False,False,valid,YYYY-MM-DD,False,319.0,False,True,False,True
63,47,Czech Republic,120,2024-06-30,47,CZ,120,2024-06-30,False,False,False,False,False,False,valid,YYYY-MM-DD,False,184.0,False,True,False,True
64,47,Germany,220,2024-06-12,47,DE,220,2024/06/12,False,False,False,False,False,False,valid,YYYY-MM-DD,False,202.0,False,True,False,True
65,48,Poland,53,2023-08-04,48,pl,53,2023-08-04,False,False,False,False,False,False,valid,YYYY-MM-DD,False,515.0,False,True,False,True
66,48,Germany,226,2024-03-29,48,Germany,226,2024-03-29,False,False,False,False,False,False,valid,YYYY-MM-DD,False,277.0,False,True,False,True
67,49,Germany,308,2024-06-23,49,DE,308,2024-06-23,False,False,False,False,False,False,valid,YYYY-MM-DD,False,191.0,False,True,False,True
68,49,Czech Republic,205,2023-08-08,49,Czech Republic,205,08/08/2023,False,False,False,False,False,False,valid,DD-MM-YYYY,True,511.0,False,True,False,True
69,50,Germany,43,2024-08-14,50,Germany,43,2024-08-14,False,False,False,False,False,False,valid,YYYY-MM-DD,False,139.0,False,True,False,True
70,51,Poland,311,2024-07-10,51,POL,311,2024-07-10,False,False,False,False,False,False,valid,YYYY-MM-DD,False,174.0,False,True,False,True
71,51,Germany,447,2023-10-24,51,germany,447,2023-10-24,False,False,False,False,False,False,valid,YYYY-MM-DD,False,434.0,False,True,False,True
72,52,Poland,314,2023-06-30,52,PL,314,30-06-2023,False,False,False,False,False,False,valid,DD-MM-YYYY,False,550.0,False,True,False,True
73,53,Germany,106,2024-12-31,53,DE,106,31-12-2024,False,False,False,False,False,False,valid,DD-MM-YYYY,False,0.0,False,False,False,True
74,53,Poland,103,2024-01-03,53,PL,103,2024-01-03,False,False,False,False,False,False,valid,YYYY-MM-DD,False,363.0,False,True,False,True
75,54,Poland,272,2024-03-28,54,Polska,272,2024-03-28,False,False,False,False,False,False,valid,YYYY-MM-DD,False,278.0,False,True,False,True
76,54,Germany,72,2024-03-08,54,GER,72,2024-03-08,False,False,False,False,False,False,valid,YYYY-MM-DD,False,298.0,False,True,False,True
77,55,Poland,431,2023-07-19,55,Poland,431,2023-07-19,False,False,False,False,False,False,valid,YYYY-MM-DD,False,531.0,False,True,False,True
78,55,Czech Republic,299,2023-06-04,55,Czech Republic,299,2023.06.04,False,False,False,False,False,False,valid,YYYY-MM-DD,False,576.0,False,True,False,True
79,56,Germany,111,2023-08-23,56,GER,111,2023-08-23,False,False,False,False,False,False,valid,YYYY-MM-DD,False,496.0,False,True,False,True
80,57,Germany,257,2023-09-06,57,Germany,257,2023-09-06,False,False,False,False,False,False,valid,YYYY-MM-DD,False,482.0,False,True,False,True
81,58,Poland,226,2024-09-08,58,Polska,226,2024-09-08,False,False,False,False,False,False,valid,YYYY-MM-DD,False,114.0,False,True,False,True
82,59,Czech Republic,371,2023-12-22,59,Czech,371,2023-12-22,False,False,False,False,False,False,valid,YYYY-MM-DD,False,375.0,False,True,False,True
83,59,Germany,116,2023-12-31,59,GER,116,2023-12-31,False,False,False,False,False,False,valid,YYYY-MM-DD,False,366.0,False,True,False,True
84,60,Germany,164,2024-12-21,60,Germany,164,2024-12-21,False,False,False,False,False,False,valid,YYYY-MM-DD,False,10.0,False,False,False,True
85,61,Czech Republic,291,2023-11-27,61,CZ,291,2023/11/27,False,False,False,False,False,False,valid,YYYY-MM-DD,False,400.0,False,True,False,True
86,61,Poland,98,2024-01-09,61,PL,98,09/01/2024,False,False,False,False,False,False,valid,DD-MM-YYYY,True,357.0,False,True,False,True
87,62,Czech Republic,109,2024-02-17,62,CZ,109,2024-02-17,False,False,False,False,False,False,valid,YYYY-MM-DD,False,318.0,False,True,False,True
88,62,Germany,287,2024-02-07,62,Germany,287,2024-02-07,False,False,False,False,False,False,valid,YYYY-MM-DD,False,328.0,False,True,False,True
89,63,Poland,369,2024-11-23,63,Polska,369,2024-11-23,False,False,False,False,False,False,valid,YYYY-MM-DD,False,38.0,False,False,False,True
90,64,Germany,297,2024-03-21,64,Germany,297,2024-03-21,False,False,False,False,False,False,valid,YYYY-MM-DD,False,285.0,False,True,False,True
91,65,Germany,167,2023-09-26,65,germany,167,2023/09/26,False,False,False,False,False,False,valid,YYYY-MM-DD,False,462.0,False,True,False,True
92,66,Czech Republic,100,2024-06-11,66,Czech,100,2024-06-11,False,False,False,False,False,False,valid,YYYY-MM-DD,False,203.0,False,True,False,True
93,67,Germany,106,2023-06-23,67,GER,106,2023-06-23,False,False,False,False,False,False,valid,YYYY-MM-DD,False,557.0,False,True,False,True
94,68,Czech Republic,248,2024-05-07,68,Czech Republic,248,2024-05-07,False,False,False,False,False,False,valid,YYYY-MM-DD,False,238.0,False,True,False,True
95,68,Germany,179,2023-10-17,68,germany,179,2023-10-17,False,False,False,False,False,False,valid,YYYY-MM-DD,False,441.0,False,True,False,True
96,69,Czech Republic,229,2023-10-15,69,Czech Republic,229,2023-10-15,False,False,False,False,False,False,valid,YYYY-MM-DD,False,443.0,False,True,False,True
97,70,Poland,122,2024-09-09,70,Poland,122,2024-09-09,False,False,False,False,False,False,valid,YYYY-MM-DD,False,113.0,False,True,False,True
98,71,Czech Republic,119,2024-12-29,71,Czechia,119,29-12-2024,False,False,False,False,False,False,valid,DD-MM-YYYY,False,2.0,False,False,False,True
99,72,Czech Republic,15,2024-01-20,72,CZ,15,2024-01-20,False,False,False,False,False,False,valid,YYYY-MM-DD,False,346.0,False,True,False,True
100,73,Czech Republic,0,2024-08-01,73,Czech Republic,0,2024-08-01,False,False,False,False,True,False,valid,YYYY-MM-DD,False,152.0,False,True,False,True
101,74,Germany,210,2024-06-02,74,Germany,210,02-06-2024,False,False,False,False,False,False,valid,DD-MM-YYYY,True,212.0,False,True,False,True
102,75,Germany,0,2023-11-22,75,Germany,0,2023-11-22,False,False,False,False,True,False,valid,YYYY-MM-DD,False,405.0,False,True,False,True
103,76,Czech Republic,62,2024-03-12,76,Czech,62,12-03-2024,False,False,False,False,False,False,valid,DD-MM-YYYY,True,294.0,False,True,False,True
104,77,Germany,338,2024-03-14,77,DE,338,2024/03/14,False,False,False,False,False,False,valid,YYYY-MM-DD,False,292.0,False,True,False,True
105,78,Germany,342,2024-10-05,78,GER,342,2024-10-05,False,False,False,False,False,False,valid,YYYY-MM-DD,False,87.0,False,False,False,True
106,78,Czech Republic,0,2023-06-27,78,CZ,0,2023/06/27,False,False,False,False,True,False,valid,YYYY-MM-DD,False,553.0,False,True,False,True
107,79,Czech Republic,0,2024-06-08,79,czechia,0,2024-06-08,False,False,False,False,True,False,valid,YYYY-MM-DD,False,206.0,False,True,False,True
108,80,Poland,163,2024-07-20,80,Polska,163,2024/07/20,False,False,False,False,False,False,valid,YYYY-MM-DD,False,164.0,False,True,False,True
109,81,Germany,165,2024-10-20,81,Deutschland,165,2024-10-20,False,False,False,False,False,False,valid,YYYY-MM-DD,False,72.0,False,False,False,True
110,81,Poland,41,2024-12-01,81,POL,41,2024-12-01,False,False,False,False,False,False,valid,YYYY-MM-DD,False,30.0,False,False,False,True
111,82,Germany,96,2024-02-10,82,GER,96,2024/02/10,False,False,False,False,False,False,valid,YYYY-MM-DD,False,325.0,False,True,False,True
112,82,Czech Republic,198,2024-07-30,82,Czech Republic,198,2024-07-30,False,False,False,False,False,False,valid,YYYY-MM-DD,False,154.0,False,True,False,True
113,83,Czech Republic,97,2024-11-10,83,Czech Republic,97,2024-11-10,False,False,False,False,False,False,valid,YYYY-MM-DD,False,51.0,False,False,False,True
114,84,Germany,62,2023-12-12,84,Deutschland,62,2023/12/12,False,False,False,False,False,False,valid,YYYY-MM-DD,False,385.0,False,True,False,True
115,85,Czech Republic,29,2023-11-14,85,CZ,29,2023-11-14,False,False,False,False,False,False,valid,YYYY-MM-DD,False,413.0,False,True,False,True
116,86,Germany,265,2024-09-25,86,GER,265,2024-09-25,False,False,False,False,False,False,valid,YYYY-MM-DD,False,97.0,False,True,False,True
117,86,Czech Republic,122,2024-01-16,86,Czech,122,16-01-2024,False,False,False,False,False,False,valid,DD-MM-YYYY,False,350.0,False,True,False,True
118,87,Germany,304,2024-07-19,87,Deutschland,304,2024-07-19,False,False,False,False,False,False,valid,YYYY-MM-DD,False,165.0,False,True,False,True
119,87,Poland,59,2024-07-09,87,PL,59,2024-07-09,False,False,False,False,False,False,valid,YYYY-MM-DD,False,175.0,False,True,False,True
120,88,Germany,131,2024-05-26,88,germany,131,2024-05-26,False,False,False,False,False,False,valid,YYYY-MM-DD,False,219.0,False,True,False,True
121,88,Czech Republic,104,2023-07-04,88,Czechia,104,2023-07-04,False,False,False,False,False,False,valid,YYYY-MM-DD,False,546.0,False,True,False,True
122,89,Germany,215,2023-09-25,89,Germany,215,25-09-2023,False,False,False,False,False,False,valid,DD-MM-YYYY,False,463.0,False,True,False,True
123,90,Poland,210,2023-07-27,90,pl,210,2023-07-27,False,False,False,False,False,False,valid,YYYY-MM-DD,False,523.0,False,True,False,True
124,90,Czech Republic,294,2024-06-21,90,czechia,294,2024-06-21,False,False,False,False,False,False,valid,YYYY-MM-DD,False,193.0,False,True,False,True
125,91,Czech Republic,276,2023-12-20,91,Czech Republic,276,2023-12-20,False,False,False,False,False,False,valid,YYYY-MM-DD,False,377.0,False,True,False,True
126,92,Germany,352,2024-03-08,92,germany,352,2024-03-08,False,False,False,False,False,False,valid,YYYY-MM-DD,False,298.0,False,True,False,True
127,93,Czech Republic,0,2024-11-05,93,czechia,0,2024.11.05,False,False,False,False,True,False,valid,YYYY-MM-DD,False,56.0,False,False,False,True
128,93,Poland,146,2024-12-14,93,poland,146,2024-12-14,False,False,False,False,False,False,valid,YYYY-MM-DD,False,17.0,False,False,False,True
129,94,Poland,181,2023-10-09,94,poland,181,2023-10-09,False,False,False,False,False,False,valid,YYYY-MM-DD,False,449.0,False,True,False,True
130,95,Czech Republic,0,2024-07-20,95,Czech Republic,0,2024-07-20,False,False,False,False,True,False,valid,YYYY-MM-DD,False,164.0,False,True,False,True
131,96,Germany,96,2024-08-21,96,germany,96,2024-08-21,False,False,False,False,False,False,valid,YYYY-MM-DD,False,132.0,False,True,False,True
132,96,Poland,489,2024-08-15,96,pl,489,2024.08.15,False,False,False,False,False,False,valid,YYYY-MM-DD,False,138.0,False,True,False,True
133,97,Poland,153,2024-07-16,97,poland,153,2024.07.16,False,False,False,False,False,False,valid,YYYY-MM-DD,False,168.0,False,True,False,True
134,97,Czech Republic,254,2023-08-06,97,Czechia,254,06-08-2023,False,False,False,False,False,False,valid,DD-MM-YYYY,True,513.0,False,True,False,True
135,98,Poland,0,2023-09-27,98,poland,0,2023-09-27,False,False,False,False,True,False,valid,YYYY-MM-DD,False,461.0,False,True,False,True
136,98,Czech Republic,193,2024-09-25,98,czechia,193,25-09-2024,False,False,False,False,False,False,valid,DD-MM-YYYY,False,97.0,False,True,False,True
137,99,Czech Republic,323,2024-03-05,99,CZ,323,2024-03-05,False,False,False,False,False,False,valid,YYYY-MM-DD,False,301.0,False,True,False,True
138,99,Poland,163,2024-08-02,99,POL,163,2024-08-02,False,False,False,False,False,False,valid,YYYY-MM-DD,False,151.0,False,True,False,True
139,100,Germany,0,2023-10-13,100,germany,0,2023-10-13,False,False,False,False,True,False,valid,YYYY-MM-DD,False,445.0,False,True,False,True
140,100,Poland,201,2023-07-12,100,pl,201,2023.07.12,False,False,False,False,False,False,valid,YYYY-MM-DD,False,538.0,False,True,False,True
141,101,Czech Republic,92,2023-06-22,101,Czech,92,2023-06-22,False,False,False,False,False,False,valid,YYYY-MM-DD,False,558.0,False,True,False,True
142,101,Poland,1,2024-12-28,101,poland,1,28-12-2024,False,False,False,False,False,False,valid,DD-MM-YYYY,False,3.0,False,False,False,True
143,102,Germany,193,2023-05-18,102,DE,193,2023/05/18,False,False,False,False,False,False,valid,YYYY-MM-DD,False,593.0,False,True,False,True
144,102,Czech Republic,419,2024-01-28,102,Czech Republic,419,2024-01-28,False,False,False,False,False,False,valid,YYYY-MM-DD,False,338.0,False,True,False,True
145,103,Poland,190,2023-08-12,103,poland,190,2023-08-12,False,False,False,False,False,False,valid,YYYY-MM-DD,False,507.0,False,True,False,True
146,103,Czech Republic,204,2024-12-06,103,Czech Republic,204,2024-12-06,False,False,False,False,False,False,valid,YYYY-MM-DD,False,25.0,False,False,False,True
147,104,Czech Republic,51,2024-06-23,104,Czech Republic,51,2024-06-23,False,False,False,False,False,False,valid,YYYY-MM-DD,False,191.0,False,True,False,True
148,104,Germany,148,2024-06-09,104,Germany,148,2024-06-09,False,False,False,False,False,False,valid,YYYY-MM-DD,False,205.0,False,True,False,True
149,105,Germany,88,2024-05-26,105,GER,88,2024/05/26,False,False,False,False,False,False,valid,YYYY-MM-DD,False,219.0,False,True,False,True
150,106,Germany,0,2024-03-08,106,DE,0,2024-03-08,False,False,False,False,True,False,valid,YYYY-MM-DD,False,298.0,False,True,False,True
151,106,Czech Republic,84,2024-12-08,106,czechia,84,2024/12/08,False,False,False,False,False,False,valid,YYYY-MM-DD,False,23.0,False,False,False,True
152,107,Poland,182,2024-02-13,107,Poland,182,2024.02.13,False,False,False,False,False,False,valid,YYYY-MM-DD,False,322.0,False,True,False,True
153,108,Germany,210,2024-05-24,108,germany,210,24-05-2024,False,False,False,False,False,False,valid,DD-MM-YYYY,False,221.0,False,True,False,True
154,109,Poland,55,2024-08-29,109,pl,55,2024-08-29,False,False,False,False,False,False,valid,YYYY-MM-DD,False,124.0,False,True,False,True
155,110,Poland,0,2023-07-01,110,POL,0,01-07-2023,False,False,False,False,True,False,valid,DD-MM-YYYY,True,549.0,False,True,False,True
156,110,Germany,63,2024-11-12,110,DE,63,2024-11-12,False,False,False,False,False,False,valid,YYYY-MM-DD,False,49.0,False,False,False,True
157,111,Czech Republic,296,2024-12-27,111,czechia,296,27-12-2024,False,False,False,False,False,False,valid,DD-MM-YYYY,False,4.0,False,False,False,True
158,112,Germany,0,2023-07-29,112,GER,0,2023/07/29,False,False,False,False,True,False,valid,YYYY-MM-DD,False,521.0,False,True,False,True
159,112,Czech Republic,195,2023-11-29,112,Czech Republic,195,2023-11-29,False,False,False,False,False,False,valid,YYYY-MM-DD,False,398.0,False,True,False,True
160,113,Poland,70,2024-11-13,113,Polska,70,2024-11-13,False,False,False,False,False,False,valid,YYYY-MM-DD,False,48.0,False,False,False,True
161,114,Germany,241,2024-11-23,114,Germany,241,2024-11-23,False,False,False,False,False,False,valid,YYYY-MM-DD,False,38.0,False,False,False,True
162,115,Poland,248,2024-08-01,115,Poland,248,01-08-2024,False,False,False,False,False,False,valid,DD-MM-YYYY,True,152.0,False,True,False,True
163,116,Czech Republic,336,2024-08-15,116,Czech,336,2024-08-15,False,False,False,False,False,False,valid,YYYY-MM-DD,False,138.0,False,True,False,True
164,116,Germany,234,2023-06-20,116,Deutschland,234,2023-06-20,False,False,False,False,False,False,valid,YYYY-MM-DD,False,560.0,False,True,False,True
165,117,Poland,211,2024-04-03,117,poland,211,2024/04/03,False,False,False,False,False,False,valid,YYYY-MM-DD,False,272.0,False,True,False,True
166,117,Czech Republic,259,2024-05-20,117,Czech,259,2024-05-20,False,False,False,False,False,False,valid,YYYY-MM-DD,False,225.0,False,True,False,True
167,118,Czech Republic,187,2023-11-28,118,Czech,187,2023-11-28,False,False,False,False,False,False,valid,YYYY-MM-DD,False,399.0,False,True,False,True
168,119,Poland,94,2024-05-06,119,Polska,94,2024-05-06,False,False,False,False,False,False,valid,YYYY-MM-DD,False,239.0,False,True,False,True
169,120,Poland,246,2024-04-07,120,pl,246,07/04/2024,False,False,False,False,False,False,valid,DD-MM-YYYY,True,268.0,False,True,False,True
170,121,Germany,33,2024-04-11,121,DE,33,2024-04-11,False,False,False,False,False,False,valid,YYYY-MM-DD,False,264.0,False,True,False,True
171,122,Germany,200,2023-05-29,122,GER,200,2023-05-29,False,False,False,False,False,False,valid,YYYY-MM-DD,False,582.0,False,True,False,True
172,123,Poland,92,2024-04-06,123,Poland,92,2024/04/06,False,False,False,False,False,False,valid,YYYY-MM-DD,False,269.0,False,True,False,True
173,123,Germany,240,2024-12-17,123,GER,240,2024.12.17,False,False,False,False,False,False,valid,YYYY-MM-DD,False,14.0,False,False,False,True
174,124,Germany,170,2024-10-31,124,Deutschland,170,2024-10-31,False,False,False,False,False,False,valid,YYYY-MM-DD,False,61.0,False,False,False,True
175,124,Poland,418,2023-10-13,124,PL,418,2023-10-13,False,False,False,False,False,False,valid,YYYY-MM-DD,False,445.0,False,True,False,True
176,125,Germany,400,2023-11-18,125,DE,400,18-11-2023,False,False,False,False,False,False,valid,DD-MM-YYYY,False,409.0,False,True,False,True
177,126,Czech Republic,253,2024-04-08,126,Czech Republic,253,08/04/2024,False,False,False,False,False,False,valid,DD-MM-YYYY,True,267.0,False,True,False,True
178,127,Germany,299,2024-08-12,127,DE,299,2024-08-12,False,False,False,False,False,False,valid,YYYY-MM-DD,False,141.0,False,True,False,True
179,127,Poland,159,2024-07-18,127,Polska,159,18/07/2024,False,False,False,False,False,False,valid,DD-MM-YYYY,False,166.0,False,True,False,True
180,128,Germany,85,2024-11-28,128,Deutschland,85,2024-11-28,False,False,False,False,False,False,valid,YYYY-MM-DD,False,33.0,False,False,False,True
181,128,Poland,44,2024-11-15,128,PL,44,2024.11.15,False,False,False,False,False,False,valid,YYYY-MM-DD,False,46.0,False,False,False,True
182,129,Poland,88,2023-08-31,129,poland,88,2023-08-31,False,False,False,False,False,False,valid,YYYY-MM-DD,False,488.0,False,True,False,True
183,130,Poland,109,2023-06-11,130,PL,109,2023-06-11,False,False,False,False,False,False,valid,YYYY-MM-DD,False,569.0,False,True,False,True
184,131,Poland,0,2024-02-22,131,poland,0,2024-02-22,False,False,False,False,True,False,valid,YYYY-MM-DD,False,313.0,False,True,False,True
185,132,Poland,0,2023-09-18,132,poland,0,2023/09/18,False,False,False,False,True,False,valid,YYYY-MM-DD,False,470.0,False,True,False,True
